Student_ID,Teacher,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Total_Score,Percent,Proficient
3001,Ms_Johnson,1,1,1,0,1,1,1,0,6,75,Yes
3002,Ms_Johnson,1,1,1,1,1,1,1,1,8,100,Yes
3003,Ms_Johnson,1,0,1,1,1,0,1,0,5,63,No
3004,Ms_Johnson,1,1,0,0,1,1,1,0,5,63,No
3005,Ms_Johnson,1,1,1,1,1,1,1,1,8,100,Yes
3006,Ms_Johnson,1,1,1,0,0,1,1,0,5,63,No
3007,Ms_Johnson,1,1,1,1,1,1,0,1,7,88,Yes
3008,Ms_Johnson,1,0,1,1,1,1,1,0,6,75,Yes
3009,Ms_Johnson,1,1,1,0,1,1,1,1,7,88,Yes
3010,Ms_Johnson,1,1,0,0,1,0,1,0,4,50,No
3011,Ms_Johnson,1,1,1,1,1,1,1,0,7,88,Yes
3012,Ms_Johnson,1,0,1,0,1,1,0,0,4,50,No
3013,Ms_Johnson,1,1,1,1,1,1,1,1,8,100,Yes
3014,Ms_Johnson,1,1,0,1,1,1,1,0,6,75,Yes
3015,Ms_Johnson,1,1,1,0,0,1,1,0,5,63,No
3016,Ms_Johnson,1,1,1,1,1,1,1,1,8,100,Yes
3017,Ms_Johnson,1,0,1,1,0,1,1,0,5,63,No
3018,Ms_Johnson,1,1,1,0,1,1,1,1,7,88,Yes
3019,Mr_Peterson,1,1,0,0,0,0,1,0,3,38,No
3020,Mr_Peterson,1,0,0,0,1,0,0,0,2,25,No
3021,Mr_Peterson,1,1,1,0,1,1,1,0,6,75,Yes
3022,Mr_Peterson,1,0,0,0,0,1,0,0,2,25,No
3023,Mr_Peterson,1,1,1,1,1,1,1,0,7,88,Yes
3024,Mr_Peterson,1,0,0,0,1,0,1,0,3,38,No
3025,Mr_Peterson,1,1,1,0,0,1,1,0,5,63,No
3026,Mr_Peterson,1,0,0,0,0,0,0,0,1,13,No
3027,Mr_Peterson,1,1,1,1,1,1,0,1,7,88,Yes
3028,Mr_Peterson,1,0,1,0,1,0,1,0,4,50,No
3029,Mr_Peterson,1,1,0,0,0,1,1,0,4,50,No
3030,Mr_Peterson,1,0,0,0,1,0,0,0,2,25,No
3031,Mr_Peterson,1,1,1,0,1,1,1,1,7,88,Yes
3032,Mr_Peterson,1,0,0,0,0,0,1,0,2,25,No
3033,Mr_Peterson,1,1,1,1,1,0,1,0,6,75,Yes
3034,Mr_Peterson,1,0,0,0,0,1,0,0,2,25,No
3035,Mr_Peterson,1,1,0,0,1,0,1,0,4,50,No
3036,Mr_Peterson,1,0,1,0,0,0,0,0,2,25,No
3037,Mrs_Chen,1,1,1,1,1,1,1,1,8,100,Yes
3038,Mrs_Chen,1,1,1,0,1,1,1,0,6,75,Yes
3039,Mrs_Chen,1,1,1,1,1,1,1,1,8,100,Yes
3040,Mrs_Chen,1,1,1,1,1,1,0,1,7,88,Yes
3041,Mrs_Chen,1,1,0,1,1,1,1,0,6,75,Yes
3042,Mrs_Chen,1,1,1,1,1,1,1,1,8,100,Yes
3043,Mrs_Chen,1,0,1,1,1,1,1,0,6,75,Yes
3044,Mrs_Chen,1,1,1,0,1,1,1,1,7,88,Yes
3045,Mrs_Chen,1,1,1,1,0,1,1,0,6,75,Yes
3046,Mrs_Chen,1,1,1,1,1,1,1,1,8,100,Yes
3047,Mrs_Chen,1,1,1,0,1,1,1,0,6,75,Yes
3048,Mrs_Chen,1,0,1,1,1,1,0,1,6,75,Yes
3049,Mrs_Chen,1,1,1,1,1,1,1,0,7,88,Yes
3050,Mrs_Chen,1,1,1,1,1,1,1,1,8,100,Yes
3051,Mrs_Chen,1,1,0,1,1,1,1,1,7,88,Yes
3052,Mrs_Chen,1,1,1,1,1,1,1,0,7,88,Yes
3053,Mrs_Chen,1,0,1,1,1,1,1,1,7,88,Yes
3054,Mrs_Chen,1,1,1,0,1,1,1,1,7,88,Yes